real1,0,0,85,1.03,s,EPP-SL,50,51,53,22,4,79,83,56,30,24,48,81,19,9,5,2,26,73,29,70,87,15,60,46,33,38,61,57,21,43,23,6,10,1,41,68,25,36,71,42,32,66,37,16,3,27,63,8,82,35,14,13,67,20,7,64,17,18,28,11,39,31,76,84,44,52,34,58,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real1,0,0,90,0.95,s,EPP-SL,51,75,86,82,79,14,34,52,58,41,57,7,39,22,88,8,73,6,48,61,67,43,68,10,83,30,72,38,5,49,9,27,4,56,13,70,80,35,31,29,20,36,12,63,69,65,53,46,66,76,37,45,78,15,62,84,74,81,11,77,64,44,55,85,50,59,54,47,32,71,40,60,42,87,33,0,0,0,0,0,0,0,0,0,0,0,0,0
real1,0,0,90,0.99,s,EPP-SL,44,67,79,83,5,14,16,60,32,54,76,10,62,24,27,8,2,13,31,63,51,75,87,6,73,49,35,52,59,30,12,23,80,1,15,84,64,57,17,61,36,69,9,82,34,58,56,88,4,50,43,53,85,46,70,3,78,66,11,39,29,33,19,22,41,72,68,86,48,81,37,20,7,74,71,0,0,0,0,0,0,0,0,0,0,0,0,0
real1,0,0,90,1.03,s,EPP-SL,56,18,34,22,5,14,76,79,30,67,54,15,25,58,33,9,3,8,21,39,41,70,29,2,16,78,32,61,59,82,12,28,84,1,10,17,53,36,81,57,72,62,6,31,68,43,23,73,13,35,42,27,52,24,66,20,83,4,7,48,19,46,38,87,50,26,44,71,63,51,60,64,11,49,37,0,0,0,0,0,0,0,0,0,0,0,0,0
real1,0,0,95,0.95,s,EPP-SL,54,80,86,82,79,22,87,39,58,62,41,13,49,10,38,76,8,68,73,33,57,70,34,48,88,20,74,64,72,23,19,36,7,55,52,75,12,83,78,61,29,42,43,5,24,6,71,69,31,51,4,53,37,66,40,35,15,60,67,65,81,11,77,56,63,30,85,9,59,44,45,32,50,3,46,14,47,84,27,0,0,0,0,0,0,0,0,0
real1,0,0,95,0.99,s,EPP-SL,64,54,81,84,51,86,15,60,71,76,20,6,43,13,18,68,4,73,2,62,78,27,23,61,66,24,63,56,35,49,65,37,10,17,30,33,12,3,67,82,48,36,80,85,52,8,22,31,58,44,1,50,59,83,69,70,11,72,53,39,5,7,75,29,41,16,88,9,34,79,42,19,46,77,32,14,74,87,57,0,0,0,0,0,0,0,0,0
real1,0,0,95,1.03,s,EPP-SL,24,18,51,27,3,58,9,79,68,36,87,2,76,1,62,35,4,29,8,48,54,44,25,28,16,49,64,41,56,40,72,61,10,63,42,34,6,13,32,46,37,71,82,45,59,15,31,84,57,33,39,19,60,22,75,30,11,66,17,83,5,7,70,23,73,38,67,12,21,50,78,81,53,52,26,14,88,20,43,0,0,0,0,0,0,0,0,0
real2,0,0,100,0.95,s,EPP-SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real2,0,0,100,0.99,s,EPP-SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real2,0,0,100,1.03,s,EPP-SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
