i,4,0,70,0.99,s,VNS_EPP-PSL,30,100,150,547.4272154851,30.3242795467,88
i,4,0,75,0.99,s,VNS_EPP-PSL,30,100,150,603.7956636673,30.5430278778,88
i,4,0,80,0.99,s,VNS_EPP-PSL,30,100,150,630.477288034,30.3557741642,88
i,4,0,85,0.99,s,VNS_EPP-PSL,30,100,150,694.9372859694,31.8023159504,88
i,4,0,90,0.99,s,VNS_EPP-PSL,30,100,150,730.282500764,32.9762108326,88
i,4,0,95,0.99,s,VNS_EPP-PSL,30,100,150,802.8946726898,36.9755802155,88
i,4,0,100,0.99,s,VNS_EPP-PSL,30,100,150,838.9885222017,34.8344333172,88
i,5,2,70,0.99,s,VNS_EPP-PSL,30,100,150,523.6543242375,28.8284342289,88
i,5,2,75,0.99,s,VNS_EPP-PSL,30,100,150,571.3937741427,31.5423119068,88
i,5,2,80,0.99,s,VNS_EPP-PSL,30,100,150,615.0805070888,30.5907702446,88
i,5,2,85,0.99,s,VNS_EPP-PSL,30,100,150,675.5811923613,30.9201226234,88
i,5,2,90,0.99,s,VNS_EPP-PSL,30,100,150,706.3521704895,32.265848875,88
i,5,2,95,0.99,s,VNS_EPP-PSL,30,100,150,756.7609755312,33.0473201275,88
i,5,2,100,0.99,s,VNS_EPP-PSL,30,100,150,821.3123151423,33.7782099247,88
f,1,0,70,0.99,s,VNS_EPP-PSL,30,100,150,559.8264698895,28.0420758724,88
f,1,0,75,0.99,s,VNS_EPP-PSL,30,100,150,601.1870425473,28.7080938816,88
f,1,0,80,0.99,s,VNS_EPP-PSL,30,100,150,652.8919309759,29.5031745434,88
f,1,0,85,0.99,s,VNS_EPP-PSL,30,100,150,708.1519808769,31.1504290104,88
f,1,0,90,0.99,s,VNS_EPP-PSL,30,100,150,772.4796931144,31.2837605476,88
f,1,0,95,0.99,s,VNS_EPP-PSL,30,100,150,818.0716921952,31.7829110622,88
f,1,0,100,0.99,s,VNS_EPP-PSL,30,100,150,877.619974306,33.4206860065,88
i,1,1,70,0.99,s,VNS_EPP-PSL,30,100,150,538.937149209,29.9126591682,88
i,1,1,75,0.99,s,VNS_EPP-PSL,30,100,150,566.9185438684,31.1119413376,88
i,1,1,80,0.99,s,VNS_EPP-PSL,30,100,150,640.3911542134,31.7747225761,88
i,1,1,85,0.99,s,VNS_EPP-PSL,30,100,150,682.3901348425,32.1724247932,88
i,1,1,90,0.99,s,VNS_EPP-PSL,30,100,150,753.7351006078,33.9786343575,88
i,1,1,95,0.99,s,VNS_EPP-PSL,30,100,150,795.9368853147,34.2834460735,88
i,1,1,100,0.99,s,VNS_EPP-PSL,30,100,150,878.4359301888,35.5723888874,88
i,5,0,70,0.99,s,VNS_EPP-PSL,30,100,150,578.3691404676,29.372064352,88
i,5,0,75,0.99,s,VNS_EPP-PSL,30,100,150,616.9947955486,30.0910849571,88
i,5,0,80,0.99,s,VNS_EPP-PSL,30,100,150,688.0643873734,30.8760674,88
i,5,0,85,0.99,s,VNS_EPP-PSL,30,100,150,736.6910009326,31.1815183163,88
i,5,0,90,0.99,s,VNS_EPP-PSL,30,100,150,818.5082592297,32.5954415798,88
i,5,0,95,0.99,s,VNS_EPP-PSL,30,100,150,844.8806399778,32.909788847,88
i,5,0,100,0.99,s,VNS_EPP-PSL,30,100,150,930.3771842712,34.0847971439,88
i,4,1,70,0.99,s,VNS_EPP-PSL,30,100,150,539.9295245978,29.188126564,88
i,4,1,75,0.99,s,VNS_EPP-PSL,30,100,150,619.1129910254,29.4197883606,88
i,4,1,80,0.99,s,VNS_EPP-PSL,30,100,150,652.818194157,30.9470746517,88
i,4,1,85,0.99,s,VNS_EPP-PSL,30,100,150,698.0612683289,30.6810355186,88
i,4,1,90,0.99,s,VNS_EPP-PSL,30,100,150,763.022266676,31.5134193897,88
i,4,1,95,0.99,s,VNS_EPP-PSL,30,100,150,817.3911071587,32.5888712406,88
