f,1,0,100,0.95s,0.95s,EPP-PSL,(2_1_1_1_36),(4_1_1_1_33),(5_1_1_1_57),(6_1_1_1_81),(7_1_1_1_56),(8_1_1_1_45),(9_1_1_1_4),(10_1_1_1_46),(11_1_1_1_14),(13_2_1_1_50),(14_2_1_1_20),(15_2_1_1_23),(16_2_1_1_52),(17_2_1_1_77),(18_2_1_1_39),(19_2_1_1_27),(20_2_1_1_61),(21_2_1_1_49),(22_2_1_1_74),(23_3_2_1_22),(24_3_2_1_85),(25_3_2_1_12),(26_3_2_1_21),(27_3_2_1_3),(28_3_2_1_54),(29_3_2_1_26),(31_3_2_1_25),(33_3_2_1_37),(34_4_2_1_38),(35_4_2_1_6),(36_4_2_1_64),(37_4_2_1_79),(38_4_2_1_15),(40_4_2_1_18),(41_4_2_1_55),(42_4_2_1_10),(44_4_2_1_75),(46_5_3_2_43),(47_5_3_2_60),(48_5_3_2_34),(49_5_3_2_29),(50_5_3_2_31),(52_5_3_2_35),(53_5_3_2_70),(54_5_3_2_17),(55_5_3_2_87),(56_6_3_2_11),(57_6_3_2_58),(58_6_3_2_19),(60_6_3_2_71),(61_6_3_2_16),(62_6_3_2_53),(63_6_3_2_51),(64_6_3_2_47),(66_6_3_2_7),(67_7_4_2_8),(69_7_4_2_42),(70_7_4_2_62),(71_7_4_2_67),(72_7_4_2_40),(73_7_4_2_5),(74_7_4_2_32),(75_7_4_2_41),(76_7_4_2_9),(77_7_4_2_1),(78_8_4_2_44),(79_8_4_2_30),(80_8_4_2_13),(81_8_4_2_48),(82_8_4_2_2),(83_8_4_2_28),(84_8_4_2_68),(85_8_4_2_24),(86_8_4_2_78)
f,1,0,100,0.99s,0.99s,EPP-PSL,(2_1_1_1_18),(4_1_1_1_33),(5_1_1_1_50),(6_1_1_1_78),(7_1_1_1_36),(8_1_1_1_55),(9_1_1_1_48),(10_1_1_1_13),(11_1_1_1_10),(13_2_1_1_44),(14_2_1_1_31),(15_2_1_1_21),(16_2_1_1_41),(17_2_1_1_87),(18_2_1_1_22),(19_2_1_1_24),(20_2_1_1_64),(21_2_1_1_4),(22_2_1_1_81),(23_3_2_1_17),(24_3_2_1_60),(25_3_2_1_27),(26_3_2_1_12),(27_3_2_1_20),(28_3_2_1_56),(29_3_2_1_37),(31_3_2_1_30),(33_3_2_1_53),(34_4_2_1_2),(35_4_2_1_58),(36_4_2_1_70),(37_4_2_1_59),(38_4_2_1_1),(40_4_2_1_7),(41_4_2_1_15),(42_4_2_1_42),(44_4_2_1_75),(46_5_3_2_6),(47_5_3_2_71),(48_5_3_2_14),(49_5_3_2_23),(50_5_3_2_54),(52_5_3_2_26),(53_5_3_2_68),(54_5_3_2_8),(55_5_3_2_62),(56_6_3_2_49),(57_6_3_2_51),(58_6_3_2_35),(60_6_3_2_74),(61_6_3_2_16),(62_6_3_2_32),(63_6_3_2_5),(64_6_3_2_47),(66_6_3_2_39),(67_7_4_2_46),(69_7_4_2_34),(70_7_4_2_61),(71_7_4_2_67),(72_7_4_2_11),(73_7_4_2_43),(74_7_4_2_25),(75_7_4_2_9),(76_7_4_2_3),(77_7_4_2_57),(78_8_4_2_40),(79_8_4_2_45),(80_8_4_2_38),(81_8_4_2_52),(82_8_4_2_29),(83_8_4_2_28),(84_8_4_2_85),(85_8_4_2_19),(86_8_4_2_77)
f,1,0,100,1.03s,1.03s,EPP-PSL,(2_1_1_1_26),(4_1_1_1_58),(5_1_1_1_54),(6_1_1_1_77),(7_1_1_1_36),(8_1_1_1_1),(9_1_1_1_29),(10_1_1_1_8),(11_1_1_1_20),(13_2_1_1_31),(14_2_1_1_33),(15_2_1_1_24),(16_2_1_1_38),(17_2_1_1_64),(18_2_1_1_12),(19_2_1_1_41),(20_2_1_1_78),(21_2_1_1_37),(22_2_1_1_81),(23_3_2_1_22),(24_3_2_1_68),(25_3_2_1_10),(26_3_2_1_16),(27_3_2_1_44),(28_3_2_1_56),(29_3_2_1_7),(31_3_2_1_3),(33_3_2_1_13),(34_4_2_1_6),(35_4_2_1_23),(36_4_2_1_70),(37_4_2_1_71),(38_4_2_1_9),(40_4_2_1_19),(41_4_2_1_4),(42_4_2_1_50),(44_4_2_1_75),(46_5_3_2_45),(47_5_3_2_67),(48_5_3_2_40),(49_5_3_2_43),(50_5_3_2_47),(52_5_3_2_25),(53_5_3_2_60),(54_5_3_2_17),(55_5_3_2_62),(56_6_3_2_49),(57_6_3_2_53),(58_6_3_2_35),(60_6_3_2_74),(61_6_3_2_14),(62_6_3_2_2),(63_6_3_2_55),(64_6_3_2_42),(66_6_3_2_27),(67_7_4_2_46),(69_7_4_2_34),(70_7_4_2_61),(71_7_4_2_59),(72_7_4_2_21),(73_7_4_2_51),(74_7_4_2_5),(75_7_4_2_32),(76_7_4_2_18),(77_7_4_2_57),(78_8_4_2_52),(79_8_4_2_15),(80_8_4_2_30),(81_8_4_2_39),(82_8_4_2_28),(83_8_4_2_48),(84_8_4_2_85),(85_8_4_2_11),(86_8_4_2_87)
f,1,0,70,0.95s,0.95s,EPP-PSL,(2_1_1_1_35),(5_1_1_1_12),(6_1_1_1_2),(7_1_1_1_24),(10_1_1_1_53),(11_1_1_1_18),(13_2_1_1_5),(14_2_1_1_23),(15_2_1_1_15),(17_2_1_1_4),(19_2_1_1_26),(20_2_1_1_6),(21_2_1_1_41),(22_2_1_1_14),(24_3_2_1_34),(25_3_2_1_43),(26_3_2_1_13),(27_3_2_1_49),(28_3_2_1_36),(29_3_2_1_25),(34_4_2_1_46),(35_4_2_1_52),(36_4_2_1_33),(37_4_2_1_54),(40_4_2_1_51),(42_4_2_1_40),(44_4_2_1_56),(47_5_3_2_3),(49_5_3_2_19),(52_5_3_2_32),(53_5_3_2_11),(54_5_3_2_37),(55_5_3_2_48),(56_6_3_2_9),(58_6_3_2_38),(60_6_3_2_42),(61_6_3_2_58),(64_6_3_2_7),(66_6_3_2_22),(69_7_4_2_27),(70_7_4_2_16),(71_7_4_2_50),(72_7_4_2_17),(74_7_4_2_55),(75_7_4_2_45),(77_7_4_2_29),(80_8_4_2_30),(81_8_4_2_8),(82_8_4_2_39),(83_8_4_2_21),(84_8_4_2_28),(86_8_4_2_44)
f,1,0,70,0.99s,0.99s,EPP-PSL,(2_1_1_1_1),(5_1_1_1_27),(6_1_1_1_29),(7_1_1_1_41),(10_1_1_1_55),(11_1_1_1_19),(13_2_1_1_43),(14_2_1_1_21),(15_2_1_1_5),(17_2_1_1_49),(19_2_1_1_9),(20_2_1_1_58),(21_2_1_1_37),(22_2_1_1_33),(24_3_2_1_48),(25_3_2_1_7),(26_3_2_1_38),(27_3_2_1_6),(28_3_2_1_12),(29_3_2_1_15),(34_4_2_1_30),(35_4_2_1_22),(36_4_2_1_10),(37_4_2_1_56),(40_4_2_1_2),(42_4_2_1_16),(44_4_2_1_36),(47_5_3_2_34),(49_5_3_2_4),(52_5_3_2_32),(53_5_3_2_40),(54_5_3_2_53),(55_5_3_2_39),(56_6_3_2_3),(58_6_3_2_8),(60_6_3_2_44),(61_6_3_2_26),(64_6_3_2_23),(66_6_3_2_17),(69_7_4_2_18),(70_7_4_2_52),(71_7_4_2_28),(72_7_4_2_46),(74_7_4_2_25),(75_7_4_2_45),(77_7_4_2_11),(80_8_4_2_13),(81_8_4_2_35),(82_8_4_2_51),(83_8_4_2_24),(84_8_4_2_20),(86_8_4_2_14)
f,1,0,70,1.03s,1.03s,EPP-PSL,(2_1_1_1_25),(5_1_1_1_14),(6_1_1_1_20),(7_1_1_1_19),(10_1_1_1_2),(11_1_1_1_35),(13_2_1_1_51),(14_2_1_1_16),(15_2_1_1_17),(16_2_1_1_7),(17_2_1_1_29),(19_2_1_1_30),(20_2_1_1_39),(22_2_1_1_28),(24_3_2_1_58),(25_3_2_1_26),(26_3_2_1_32),(27_3_2_1_11),(28_3_2_1_46),(29_3_2_1_3),(34_4_2_1_15),(35_4_2_1_22),(36_4_2_1_40),(37_4_2_1_44),(40_4_2_1_9),(42_4_2_1_10),(44_4_2_1_36),(47_5_3_2_31),(49_5_3_2_37),(52_5_3_2_13),(53_5_3_2_49),(54_5_3_2_8),(55_5_3_2_43),(56_6_3_2_38),(58_6_3_2_6),(60_6_3_2_33),(61_6_3_2_45),(64_6_3_2_21),(66_6_3_2_12),(69_7_4_2_24),(70_7_4_2_23),(71_7_4_2_34),(72_7_4_2_55),(74_7_4_2_1),(75_7_4_2_5),(77_7_4_2_27),(80_8_4_2_4),(81_8_4_2_53),(82_8_4_2_18),(83_8_4_2_41),(84_8_4_2_48),(86_8_4_2_52)
f,1,0,75,0.95s,0.95s,EPP-PSL,(2_1_1_1_35),(4_1_1_1_18),(5_1_1_1_29),(6_1_1_1_33),(9_1_1_1_39),(10_1_1_1_53),(11_1_1_1_36),(13_2_1_1_5),(14_2_1_1_40),(15_2_1_1_17),(16_2_1_1_41),(17_2_1_1_11),(19_2_1_1_13),(20_2_1_1_44),(22_2_1_1_28),(23_3_2_1_26),(24_3_2_1_34),(25_3_2_1_9),(26_3_2_1_22),(28_3_2_1_23),(29_3_2_1_25),(34_4_2_1_46),(35_4_2_1_43),(36_4_2_1_14),(37_4_2_1_20),(38_4_2_1_38),(42_4_2_1_16),(44_4_2_1_6),(46_5_3_2_15),(47_5_3_2_54),(49_5_3_2_24),(50_5_3_2_7),(52_5_3_2_37),(53_5_3_2_50),(55_5_3_2_4),(56_6_3_2_49),(58_6_3_2_51),(60_6_3_2_42),(63_6_3_2_30),(64_6_3_2_12),(66_6_3_2_19),(69_7_4_2_21),(70_7_4_2_56),(71_7_4_2_3),(72_7_4_2_58),(73_7_4_2_52),(75_7_4_2_32),(77_7_4_2_48),(79_8_4_2_55),(80_8_4_2_45),(81_8_4_2_8),(82_8_4_2_27),(84_8_4_2_47),(86_8_4_2_2)
f,1,0,75,0.99s,0.99s,EPP-PSL,(2_1_1_1_5),(4_1_1_1_24),(5_1_1_1_52),(6_1_1_1_40),(9_1_1_1_3),(10_1_1_1_55),(11_1_1_1_6),(13_2_1_1_12),(14_2_1_1_16),(15_2_1_1_26),(16_2_1_1_2),(17_2_1_1_49),(19_2_1_1_9),(20_2_1_1_29),(22_2_1_1_28),(23_3_2_1_37),(24_3_2_1_20),(25_3_2_1_35),(26_3_2_1_46),(28_3_2_1_21),(29_3_2_1_30),(34_4_2_1_13),(35_4_2_1_4),(36_4_2_1_33),(37_4_2_1_42),(38_4_2_1_15),(42_4_2_1_27),(44_4_2_1_14),(46_5_3_2_38),(47_5_3_2_56),(49_5_3_2_51),(50_5_3_2_11),(52_5_3_2_32),(53_5_3_2_48),(55_5_3_2_39),(56_6_3_2_19),(58_6_3_2_1),(60_6_3_2_34),(63_6_3_2_8),(64_6_3_2_23),(66_6_3_2_41),(69_7_4_2_43),(70_7_4_2_36),(71_7_4_2_31),(72_7_4_2_22),(73_7_4_2_17),(75_7_4_2_53),(77_7_4_2_58),(79_8_4_2_25),(80_8_4_2_45),(81_8_4_2_7),(82_8_4_2_18),(84_8_4_2_44),(86_8_4_2_10)
f,1,0,75,1.03s,1.03s,EPP-PSL,(2_1_1_1_7),(4_1_1_1_24),(5_1_1_1_14),(6_1_1_1_52),(9_1_1_1_18),(10_1_1_1_2),(11_1_1_1_11),(13_2_1_1_51),(14_2_1_1_21),(15_2_1_1_30),(16_2_1_1_17),(17_2_1_1_20),(19_2_1_1_12),(20_2_1_1_40),(22_2_1_1_58),(23_3_2_1_25),(24_3_2_1_28),(25_3_2_1_38),(26_3_2_1_26),(28_3_2_1_41),(29_3_2_1_5),(34_4_2_1_15),(35_4_2_1_45),(36_4_2_1_33),(37_4_2_1_44),(38_4_2_1_3),(42_4_2_1_23),(44_4_2_1_39),(46_5_3_2_6),(47_5_3_2_31),(49_5_3_2_53),(50_5_3_2_27),(52_5_3_2_9),(53_5_3_2_34),(55_5_3_2_36),(56_6_3_2_35),(58_6_3_2_32),(60_6_3_2_56),(63_6_3_2_8),(64_6_3_2_10),(66_6_3_2_22),(69_7_4_2_16),(70_7_4_2_43),(71_7_4_2_42),(72_7_4_2_19),(73_7_4_2_55),(75_7_4_2_4),(77_7_4_2_29),(79_8_4_2_1),(80_8_4_2_13),(81_8_4_2_37),(82_8_4_2_46),(84_8_4_2_48),(86_8_4_2_49)
f,1,0,80,0.95s,0.95s,EPP-PSL,(2_1_1_1_52),(3_1_1_1_24),(5_1_1_1_4),(6_1_1_1_34),(7_1_1_1_21),(10_1_1_1_45),(11_1_1_1_12),(13_2_1_1_16),(14_2_1_1_48),(15_2_1_1_58),(16_2_1_1_22),(17_2_1_1_14),(19_2_1_1_19),(20_2_1_1_28),(22_2_1_1_20),(23_3_2_1_43),(24_3_2_1_54),(25_3_2_1_18),(27_3_2_1_56),(28_3_2_1_6),(29_3_2_1_51),(32_3_2_1_40),(33_3_2_1_32),(34_4_2_1_30),(35_4_2_1_39),(36_4_2_1_3),(37_4_2_1_1),(38_4_2_1_35),(41_4_2_1_53),(44_4_2_1_33),(46_5_3_2_13),(47_5_3_2_10),(49_5_3_2_36),(52_5_3_2_46),(53_5_3_2_42),(54_5_3_2_37),(55_5_3_2_11),(56_6_3_2_23),(58_6_3_2_26),(60_6_3_2_47),(62_6_3_2_55),(63_6_3_2_25),(66_6_3_2_49),(67_7_4_2_17),(70_7_4_2_2),(71_7_4_2_57),(72_7_4_2_27),(73_7_4_2_8),(75_7_4_2_41),(77_7_4_2_44),(78_8_4_2_7),(80_8_4_2_38),(81_8_4_2_9),(82_8_4_2_5),(83_8_4_2_29),(84_8_4_2_31),(85_8_4_2_15),(86_8_4_2_50)
