f,1,0,85,0.99s,0.99s,EPP-PSL,1,27,40,56,24,43,32,21,14,22,9,31,35,34,37,54,50,3,4,58,52,13,25,8,18,47,75,15,17,10,28,5,87,12,6,49,30,42,20,16,26,62,41,2,29,51,38,36,48,57,19,46,53,33,11,55,45,7,23,39,61,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,85,1.03s,1.03s,EPP-PSL,6,16,40,44,24,41,1,14,39,37,17,31,45,48,30,54,47,11,22,27,43,15,2,3,19,42,75,7,25,49,33,26,61,21,53,20,13,50,28,51,55,78,46,8,52,38,32,36,34,62,35,12,9,58,10,5,4,18,23,29,57,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,90,0.95s,0.95s,EPP-PSL,23,19,6,28,31,32,56,25,48,33,44,18,47,22,9,57,17,10,43,1,27,39,11,41,30,37,7,62,81,38,55,14,54,13,77,36,34,35,87,15,3,12,52,78,21,45,26,5,8,4,50,61,40,24,53,51,42,16,46,49,29,2,75,58,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,90,0.99s,0.99s,EPP-PSL,12,7,58,28,54,25,52,30,36,10,29,19,42,46,3,31,4,61,9,47,23,51,40,8,53,1,18,57,64,5,55,33,56,35,77,43,48,2,62,37,34,11,26,87,24,32,13,16,22,14,20,78,6,41,15,38,44,27,45,21,39,49,75,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,90,1.03s,1.03s,EPP-PSL,21,37,36,33,47,2,27,8,23,29,40,35,42,53,19,56,45,61,26,54,51,38,20,6,4,17,10,57,77,25,3,58,44,55,64,46,28,9,62,7,31,43,30,75,11,1,13,41,22,49,48,87,16,18,5,32,34,39,15,24,14,52,78,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,95,0.95s,0.95s,EPP-PSL,29,58,4,42,75,7,11,45,48,50,33,39,43,62,36,87,8,81,19,61,23,18,14,34,30,56,32,35,40,78,70,46,17,53,54,57,13,68,44,5,20,51,77,38,10,6,22,24,74,49,26,3,15,27,52,47,64,12,9,55,37,31,2,25,41,21,16,28,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,95,0.99s,0.99s,EPP-PSL,23,4,49,31,75,12,58,30,40,33,20,6,22,62,51,61,7,64,46,87,18,19,10,48,37,14,15,5,27,77,85,1,35,55,34,54,17,68,36,16,44,2,78,45,50,39,26,3,70,24,13,56,53,43,9,47,60,21,41,25,38,42,52,32,8,11,29,28,81,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,0,95,1.03s,1.03s,EPP-PSL,23,45,52,56,75,51,40,4,29,49,34,19,55,62,18,57,12,77,53,87,41,35,58,33,9,20,3,15,14,64,74,6,26,2,44,54,37,68,27,16,48,8,78,13,50,43,22,38,60,21,17,31,32,24,30,47,70,10,11,1,25,42,36,5,7,46,39,28,81,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,1,1,100,0.95s,0.95s,EPP-PSL,16,33,53,82,43,38,55,39,40,62,17,78,42,69,29,45,41,20,34,30,26,24,61,2,51,68,12,6,84,4,19,76,65,81,71,74,14,36,27,21,46,22,37,9,49,87,3,86,52,1,54,58,13,23,56,11,28,66,35,79,18,48,75,25,80,8,15,50,10,47,57,44,77,32,5,70,31,7,60,73,0,0,0,0,0,0,0,0
f,1,1,100,0.99s,0.99s,EPP-PSL,9,46,37,69,45,8,14,49,16,62,4,78,36,81,24,18,41,13,42,1,12,76,80,55,15,77,21,32,50,54,25,57,66,60,70,74,31,26,17,7,33,2,35,65,6,61,43,79,58,56,3,11,34,20,29,38,44,75,23,84,52,39,71,19,82,5,28,53,48,47,40,27,68,30,10,86,51,22,87,73,0,0,0,0,0,0,0,0
f,1,1,100,1.03s,1.03s,EPP-PSL,36,40,35,67,31,6,43,23,49,68,3,82,52,63,46,28,1,32,24,8,15,65,87,55,44,61,30,16,66,9,20,56,73,77,74,71,39,21,2,12,53,38,54,47,13,60,45,76,5,57,17,7,34,10,37,11,27,84,25,79,14,51,70,58,69,22,41,33,48,50,42,4,75,26,29,86,19,18,81,62,0,0,0,0,0,0,0,0
